Салон,Наименование группы,Кол-во (группа),Паспорт,Полный класс (доминирующий),Остаток по классу,Прогноз по классу (квартал),"Прогноз по классу (месяц1, месяц2, месяц3)",XYZ-категория,Рекомендация
Васенко,5(10000-24990) (VOGUE) (ж),8,8,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,5(10000-24990) (WILLIAM MORRIS BL) (ж),9,9,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,5(10000-24990) (WILLIAM MORRIS) (м),10,9,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,5(10000-24990) (XAVIER GARCIA) (ж),1,0,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,VIP (CHARRIOL) (ж) #,1,0,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,VIP (MONTBLANC)#,1,0,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,(детские) (пластик) (36-41),2,3,квадратные_пластик_черный_S_M_M,13,0,"0, 0, 0",X,Нет прогноза
Васенко,(детские) (пластик) (42-45),11,10,квадратные_пластик_черный_S_M_M,13,0,"0, 0, 0",X,Нет прогноза
Васенко,(детские) (пластик) (46-49),12,8,квадратные_пластик_черный_S_M_M,13,0,"0, 0, 0",X,Нет прогноза
Васенко,(детские) (пластик) (36-41),3,3,квадратные_пластик_черный_S_M_M,13,0,"0, 0, 0",X,Нет прогноза
Васенко,(детские) (пластик) (42-45),20,10,квадратные_пластик_черный_S_M_M,13,0,"0, 0, 0",X,Нет прогноза
Васенко,(детские) (пластик) (46-49),13,5,квадратные_пластик_черный_S_M_M,13,0,"0, 0, 0",X,Нет прогноза
Комарова,(подростковые) (пластик для девочек),13,8,овальные_пластик_многоцветный_M_M_L,10,18,"6, 5, 7",X,Заказать
Комарова,(подростковые) (пластик для мальчиков/универс),23,14,овальные_пластик_многоцветный_M_M_L,10,18,"6, 5, 7",X,Заказать
Комарова,1(0-1490) (ПЛАСТИК) (Ж),10,10,овальные_пластик_многоцветный_M_M_L,10,18,"6, 5, 7",X,Заказать
Комарова,2(1590-3990) (DACKOR) (пластик) (м),7,7,овальные_пластик_многоцветный_M_M_L,10,18,"6, 5, 7",X,Заказать
Комарова,2(1590-3990) (ISABELLE) (пластик) (ж),7,7,овальные_пластик_многоцветный_M_M_L,10,18,"6, 5, 7",X,Заказать
Комарова,3(4000-5990) (GLORY) (пластик) (ж),10,10,овальные_пластик_многоцветный_M_M_L,10,18,"6, 5, 7",X,Заказать
Комарова,3(4000-5990) (GLORY) (пластик) (м),11,14,овальные_пластик_многоцветный_M_M_L,10,18,"6, 5, 7",X,Заказать
Комарова,3(4000-5990) (OPTILOOK) (пластик) (ж),10,10,овальные_пластик_многоцветный_M_M_L,10,18,"6, 5, 7",X,Заказать
Комарова,(подростковые) (пластик для девочек),22,20,овальные_пластик_многоцветный_M_M_L,10,18,"6, 5, 7",X,Заказать
Комарова,(подростковые) (пластик для мальчиков/универс),26,22,овальные_пластик_многоцветный_M_M_L,10,18,"6, 5, 7",X,Заказать
Комарова,1(0-1490) (ПЛАСТИК) (Ж),7,7,овальные_пластик_многоцветный_M_M_L,10,18,"6, 5, 7",X,Заказать
Комарова,2(1590-3990) (DACKOR) (пластик) (м),7,7,овальные_пластик_многоцветный_M_M_L,10,18,"6, 5, 7",X,Заказать
Комарова,2(1590-3990) (ISABELLE) (пластик) (ж),13,14,овальные_пластик_многоцветный_M_M_L,10,18,"6, 5, 7",X,Заказать
Комарова,3(4000-5990) (GLORY) (пластик) (ж),13,14,овальные_пластик_многоцветный_M_M_L,10,18,"6, 5, 7",X,Заказать
Комарова,3(4000-5990) (GLORY) (пластик) (м),5,7,овальные_пластик_многоцветный_M_M_L,10,18,"6, 5, 7",X,Заказать
Комарова,3(4000-5990) (OPTILOOK) (пластик) (ж),10,7,овальные_пластик_многоцветный_M_M_L,10,18,"6, 5, 7",X,Заказать
40 лет Октября,(детские) (пластик) (36-41),1,3,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские) (пластик) (42-45),8,8,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские) (пластик) (46-49),5,5,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские)(FISHER PRICE) девочки 38-41,1,2,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские)(FISHER PRICE) девочки 42-46,7,8,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские)(FISHER PRICE) девочки 47-54,3,3,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские)(FISHER PRICE) мальчики 38-41,3,3,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские)(FISHER PRICE) мальчики 42-46,4,6,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские)(FISHER PRICE) мальчики 47-54,8,8,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские)(NANOKIDS/LIFE),4,5,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые ) (NANO) (52-56),1,4,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (BARBIE),6,10,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (BENETTON),5,5,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (CAROLINA/MINI/CHLOE),8,8,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (CHOCO),7,6,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (DOLCE&GABBANA),9,8,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (GUESS),11,6,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (HOT WHEELS),8,8,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (KIDSIGHT),3,8,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (NEW BALANCE),1,2,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (OU/SCOUT),16,14,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (PEPE JEANS),3,2,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (PUMA/LACOSTE/LIU),3,4,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (RAY-BAN),3,4,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (SENSE EYEWEAR) НОЛЬ-ТАРИФ,8,7,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (SEVENTH STREET),2,4,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (VERSACE),8,8,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (VERSO),10,5,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
Комарова,(детские) (пластик) (36-41),2,3,овальные_пластик_синий_S_S_S,0,0,"0, 0, 0",X,Нет данных
Комарова,(детские) (пластик) (42-45),11,10,овальные_пластик_синий_S_S_S,0,0,"0, 0, 0",X,Нет данных
Комарова,(детские) (пластик) (46-49),12,8,овальные_пластик_синий_S_S_S,0,0,"0, 0, 0",X,Нет данных
Комарова,(детские/подростковые) (OU/SCOUT),10,8,овальные_пластик_синий_S_S_S,0,0,"0, 0, 0",X,Нет данных
Комарова,(детские/подростковые) (SENSE EYEWEAR) НОЛЬ-ТАРИФ,6,6,овальные_пластик_синий_S_S_S,0,0,"0, 0, 0",X,Нет данных
