Салон,Наименование группы,Кол-во (группа),Паспорт,Полный класс (доминирующий),Остаток по классу,Прогноз по классу (квартал),"Прогноз по классу (месяц1, месяц2, месяц3)",XYZ-категория,Рекомендация
Комарова,4(6000-9990) (SEEBLING титановые) (ж) ,15,14,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,4(6000-9990) (SEEBLING титановые) (м) ,9,9,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,4(6000-9990) (SFEROFLEX) (ж),3,9,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,4(6000-9990) (SFEROFLEX) (м),6,9,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,4(6000-9990) (VY) (ж),8,9,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,4(6000-9990) (WILLIAM MORRIS) (ж),18,18,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,5(10000-24990) (ANA HICKMANN) (ж),9,8,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,5(10000-24990) (BOSS/HUGO BOSS) (м),8,8,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,5(10000-24990) (CERUTTI) (м),8,8,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,5(10000-24990) (EMILIA) (ж),8,8,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,5(10000-24990) (EMPORIO ARMANI) (м),8,8,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,5(10000-24990) (GUESS) (ж),18,18,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,5(10000-24990) (GUESS) (м),9,9,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,5(10000-24990) (MOREL/OGA/NOMAD/LIGHTEC) (м),8,8,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,5(10000-24990) (RAY BAN),7,8,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,5(10000-24990) (SLIMFOLD) (м),3,3,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,5(10000-24990) (STEPPER) (ж),19,18,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,5(10000-24990) (STEPPER) (м),11,9,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,5(10000-24990) (T-CHARGE) (м),12,9,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,5(10000-24990) (TRUSSARDI) (м),8,8,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,5(10000-24990) (VOGUE) (ж),8,8,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,5(10000-24990) (WILLIAM MORRIS BL) (ж),9,9,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,5(10000-24990) (WILLIAM MORRIS) (м),10,9,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,5(10000-24990) (XAVIER GARCIA) (ж),1,0,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,VIP (CHARRIOL) (ж) #,1,0,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,VIP (MONTBLANC)#,1,0,прямоугольные_металл_темно-серый_M_L_M,99,14,"5, 0, 9",X,Убрать / Перераспределить
Комарова,1(0-1490) (ПЛАСТИК) (М),8,8,прямоугольные_пластик_черный_M_L_M,46,8,"2, 2, 4",X,Убрать / Перераспределить
Комарова,1(0-1490) (ПЛАСТИК) (М),7,7,прямоугольные_пластик_черный_M_L_M,46,8,"2, 2, 4",X,Убрать / Перераспределить
