Unnamed: 0,stock,Unnamed: 2,Unnamed: 3,Unnamed: 4,salon,наименование,Кол-во,паспорт
Остаток,,,Кол-во,паспорт,Салон 40 лет Октября,,,
,,,,,Салон Комаровского,(1590-9990 ) (ОПРАВЫ + CLIP) (М),4.0,5.0
,,,,,Салон Комаровского,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (ж),2.0,2.0
,,,,,Салон Комаровского,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (м),2.0,2.0
,,,,,Салон Комаровского,(детские) (пластик) (36-41),3.0,3.0
,,,,,Салон Комаровского,(детские) (пластик) (42-45),20.0,10.0
,,,,,Салон Комаровского,(детские) (пластик) (46-49),13.0,5.0
,,,,,Салон Комаровского,(детские)(FISHER PRICE) девочки 38-41,,2.0
,,,,,Салон Комаровского,(детские)(FISHER PRICE) девочки 42-46,6.0,6.0
,,,,,Салон Комаровского,(детские)(FISHER PRICE) девочки 47-54,2.0,2.0
,,,,,Салон Комаровского,(детские)(FISHER PRICE) мальчики 38-41,2.0,2.0
,,,,,Салон Комаровского,(детские)(FISHER PRICE) мальчики 42-46,7.0,5.0
,,,,,Салон Комаровского,(детские)(FISHER PRICE) мальчики 47-54,4.0,5.0
,,,,,Салон Комаровского,(детские)(NANOKIDS/LIFE),5.0,5.0
,,,,,Салон Комаровского,(детские/подростковые) (BARBIE),6.0,10.0
,,,,,Салон Комаровского,(детские/подростковые) (GUESS),5.0,
,,,,,Салон Комаровского,(детские/подростковые) (HOT WHEELS),4.0,4.0
,,,,,Салон Комаровского,(детские/подростковые) (KIDSIGHT),5.0,10.0
,,,,,Салон Комаровского,(детские/подростковые) (OU/SCOUT),14.0,14.0
,,,,,Салон Комаровского,(детские/подростковые) (SENSE EYEWEAR) НОЛЬ-ТАРИФ,6.0,7.0
,,,,,Салон Комаровского,(детские/подростковые) (VERSO),10.0,10.0
,,,,,Салон Комаровского,(детские/подростковые) (VOGUE),1.0,
,,,,,Салон Комаровского,(подростковые) (металл для девочек),10.0,12.0
,,,,,Салон Комаровского,(подростковые) (металл для мальчиков/универс),11.0,20.0
,,,,,Салон Комаровского,(подростковые) (пластик для девочек),22.0,20.0
,,,,,Салон Комаровского,(подростковые) (пластик для мальчиков/универс),26.0,22.0
,,,,,Салон Комаровского,1(0-1490) (МЕТАЛЛ) (Ж),7.0,7.0
,,,,,Салон Комаровского,1(0-1490) (МЕТАЛЛ) (М),7.0,7.0
,,,,,Салон Комаровского,1(0-1490) (ПЛАСТИК) (Ж),7.0,7.0
,,,,,Салон Комаровского,1(0-1490) (ПЛАСТИК) (М),7.0,7.0
,,,,,Салон Комаровского,2(1590-3990) (DACKOR) (ж),14.0,14.0
,,,,,Салон Комаровского,2(1590-3990) (DACKOR) (металл) (м),21.0,21.0
,,,,,Салон Комаровского,2(1590-3990) (DACKOR) (пластик) (м),7.0,7.0
,,,,,Салон Комаровского,2(1590-3990) (GENEX) (ж),6.0,7.0
,,,,,Салон Комаровского,2(1590-3990) (GENEX) (м),12.0,14.0
,,,,,Салон Комаровского,2(1590-3990) (ISABELLE) (пластик) (ж),13.0,14.0
,,,,,Салон Комаровского,2(1590-3990) (NIKITANA) (ж),14.0,14.0
,,,,,Салон Комаровского,2(1590-3990) (OU) (мет+пл) (ж),2.0,4.0
,,,,,Салон Комаровского,2(1590-3990) (SENSE EYEWEAR) (ме) (ж),24.0,24.0
,,,,,Салон Комаровского,2(1590-3990) (SENSE EYEWEAR) (ме) (ж) хит5,4.0,4.0
,,,,,Салон Комаровского,2(1590-3990) (SENSE EYEWEAR) (ме) (м),14.0,14.0
,,,,,Салон Комаровского,2(1590-3990) (SENSE EYEWEAR) (пл) (ж),21.0,21.0
,,,,,Салон Комаровского,2(1590-3990) (SENSE EYEWEAR) (пл) (м),14.0,14.0
,,,,,Салон Комаровского,2(1590-3990) (SHARMEL) (м),14.0,14.0
,,,,,Салон Комаровского,3(4000-5990) (BALLET IMAGE) (ж),14.0,14.0
,,,,,Салон Комаровского,3(4000-5990) (GLORY) (металл) (ж),14.0,14.0
,,,,,Салон Комаровского,3(4000-5990) (GLORY) (металл) (м),7.0,7.0
,,,,,Салон Комаровского,3(4000-5990) (GLORY) (пластик) (ж),13.0,14.0
,,,,,Салон Комаровского,3(4000-5990) (GLORY) (пластик) (м),5.0,7.0
,,,,,Салон Комаровского,3(4000-5990) (HUMARS) (ж),7.0,7.0
,,,,,Салон Комаровского,3(4000-5990) (MEGAPOLIS) (ж),10.0,14.0
,,,,,Салон Комаровского,3(4000-5990) (MEREL/ST.LOUISE) (ж),2.0,
,,,,,Салон Комаровского,3(4000-5990) (OPTILOOK) (металл) (ж),6.0,7.0
,,,,,Салон Комаровского,3(4000-5990) (OPTILOOK) (пластик) (ж),10.0,7.0
,,,,,Салон Комаровского,3(4000-5990) (OU) (ж),18.0,14.0
,,,,,Салон Комаровского,3(4000-5990) (OU) (м),12.0,12.0
,,,,,Салон Комаровского,3(4000-5990) (RICO MIRADO) (ж),8.0,7.0
,,,,,Салон Комаровского,3(4000-5990) (SENSE EYEWEAR) (ж) хит6,4.0,4.0
,,,,,Салон Комаровского,3(4000-5990) (SENSE EYEWEAR) (ж)(ме),50.0,52.0
