article,brand,gender_frame,material,frame_type,form,color,lens_width,bridge_width,temples_length,price,cost,категория,class_style,class_size,class_full
3013-1,ROLLES,женские,металл,полуободковая,бабочка,черный,53.0,18.0,142.0,,,оптика,бабочка_металл_черный,M_L_L,бабочка_металл_черный_M_L_L
3016-008,MAJE,женские,металл,ободковая,панто,серебристый,54.0,14.0,135.0,,,оптика,панто_металл_серебристый,M_L_S,панто_металл_серебристый_M_L_S
3016-4,VITO FABIUS,подростковые для девочек,пластик,ободковая,прямоугольные,прозрачный,46.0,17.0,132.0,,,оптика,прямоугольные_пластик_прозрачный,S_S_M,прямоугольные_пластик_прозрачный_S_S_M
3016-6,VITO FABIUS,подростковые для девочек,пластик,ободковая,прямоугольные,прозрачный,46.0,17.0,132.0,,,оптика,прямоугольные_пластик_прозрачный,S_S_M,прямоугольные_пластик_прозрачный_S_S_M
3016-8,VITO FABIUS,подростковые для девочек,пластик,ободковая,прямоугольные,серый,46.0,17.0,132.0,,,оптика,прямоугольные_пластик_серый,S_S_M,прямоугольные_пластик_серый_S_S_M
3017-4,VITO FABIUS,детские для девочек,пластик,ободковая,прямоугольные,прозрачный,46.0,16.0,132.0,,,оптика,прямоугольные_пластик_прозрачный,S_S_M,прямоугольные_пластик_прозрачный_S_S_M
3017-6,VITO FABIUS,подростковые универсальные,пластик,ободковая,прямоугольные,,46.0,16.0,132.0,,,оптика,,S_S_M,
30173 L-GO11,LIGHTEC,мужские,металл,ободковая,прямоугольные,,57.0,18.0,150.0,,,оптика,,L_L_L,
3019-1,VITO FABIUS,детские универсальные,пластик,ободковая,прямоугольные,прозрачный,47.0,15.0,128.0,,,оптика,прямоугольные_пластик_прозрачный,S_S_S,прямоугольные_пластик_прозрачный_S_S_S
3019-2,VITO FABIUS,детские для девочек,пластик,ободковая,прямоугольные,прозрачный,47.0,15.0,128.0,,,оптика,прямоугольные_пластик_прозрачный,S_S_S,прямоугольные_пластик_прозрачный_S_S_S
3019-5,VITO FABIUS,детские универсальные,пластик,ободковая,,,47.0,15.0,128.0,,,оптика,,S_S_S,
3020-4,VITO FABIUS,подростковые универсальные,пластик,ободковая,трапеция,,46.0,17.0,128.0,,,оптика,,S_S_M,
3020246-CREW,NANO NAO,детские для мальчиков,пластик,ободковая,прямоугольные,синий,46.0,14.0,133.0,,,оптика,прямоугольные_пластик_синий,S_S_S,прямоугольные_пластик_синий_S_S_S
30206 L-BG02,LIGHTEC,мужские,металл,ободковая,прямоугольные,,53.0,18.0,145.0,,,оптика,,L_L_L,
30206 L-GN03,LIGHTEC,мужские,металл,ободковая,прямоугольные,,53.0,18.0,145.0,,,оптика,,L_L_L,
30214 L-NG07,LIGHTEC,мужские,металл,ободковая,прямоугольные,,56.0,18.0,145.0,,,оптика,,L_L_L,
30214 L-NG09,LIGHTEC,мужские,металл,ободковая,прямоугольные,,56.0,18.0,145.0,,,оптика,,L_L_L,
3022146-CREW,NANO NAO,детские для мальчиков,пластик,ободковая,прямоугольные,черный,46.0,14.0,133.0,,,оптика,прямоугольные_пластик_черный,S_S_S,прямоугольные_пластик_черный_S_S_S
30227 L-ND06,LIGHTEC,мужские,пластик,ободковая,квадратные,,54.0,18.0,145.0,,,оптика,,L_L_L,
30266L-BG03,LIGHTEC,мужские,пластик,ободковая,квадратные,,51.0,19.0,145.0,,,оптика,,L_M_L,
30266L-NO02,LIGHTEC,мужские,пластик,ободковая,квадратные,черный,51.0,19.0,145.0,,,оптика,квадратные_пластик_черный,L_M_L,квадратные_пластик_черный_L_M_L
30267L-NB05,LIGHTEC,мужские,пластик,ободковая,прямоугольные,черный,52.0,16.0,145.0,,,оптика,прямоугольные_пластик_черный,L_L_M,прямоугольные_пластик_черный_L_L_M
30267L-VN06,LIGHTEC,мужские,пластик,ободковая,прямоугольные,,52.0,16.0,145.0,,,оптика,,L_L_M,
30269L-NR10,LIGHTEC,мужские,пластик,ободковая,прямоугольные,черный,56.0,18.0,150.0,,,оптика,прямоугольные_пластик_черный,L_L_L,прямоугольные_пластик_черный_L_L_L
30271L-BG05,LIGHTEC,мужские,металл,ободковая,квадратные,синий,52.0,19.0,145.0,,,оптика,квадратные_металл_синий,L_L_L,квадратные_металл_синий_L_L_L
30271L-NG04,LIGHTEC,мужские,металл,ободковая,прямоугольные,черный,52.0,19.0,145.0,,,оптика,прямоугольные_металл_черный,L_L_L,прямоугольные_металл_черный_L_L_L
3028-400,SCOTCH&SODA,женские,металл,ободковая,панто,черный/золотой,50.0,20.0,135.0,,,оптика,панто_металл_черный/золотой,M_M_L,панто_металл_черный/золотой_M_M_L
3028-401,SCOTCH&SODA,женские,металл,ободковая,панто,розовый,50.0,20.0,135.0,,,оптика,панто_металл_розовый,M_M_L,панто_металл_розовый_M_M_L
3028-402,SCOTCH&SODA,женские,металл,ободковая,панто,желтый/зеленый,50.0,20.0,135.0,,,оптика,панто_металл_желтый/зеленый,M_M_L,панто_металл_желтый/зеленый_M_M_L
30280L-BG09,LIGHTEC,мужские,металл,полуободковая,прямоугольные,синий,52.0,18.0,145.0,,,оптика,прямоугольные_металл_синий,L_L_L,прямоугольные_металл_синий_L_L_L
30287L-VN06,LIGHTEC,мужские,пластик,ободковая,необычные,зеленый,53.0,19.0,145.0,,,оптика,необычные_пластик_зеленый,L_L_L,необычные_пластик_зеленый_L_L_L
30289L-ND10,LIGHTEC,мужские,пластик,ободковая,панто,черный,49.0,20.0,145.0,,,оптика,панто_пластик_черный,L_M_L,панто_пластик_черный_L_M_L
30290L-BP03,LIGHTEC,женские,металл,ободковая,круглые,коричневый/золотой,47.0,20.0,135.0,,,оптика,круглые_металл_коричневый/золотой,M_S_L,круглые_металл_коричневый/золотой_M_S_L
30292L-BP08,LIGHTEC,женские,металл,ободковая,бабочка,синий,50.0,17.0,140.0,,,оптика,бабочка_металл_синий,M_M_M,бабочка_металл_синий_M_M_M
30292L-DP09,LIGHTEC,женские,металл,ободковая,бабочка,бордовый,50.0,17.0,140.0,,,оптика,бабочка_металл_бордовый,M_M_M,бабочка_металл_бордовый_M_M_M
30293L-DP12,LIGHTEC,женские,металл,ободковая,бабочка,синий/серебристый,51.0,18.0,140.0,,,оптика,бабочка_металл_синий/серебристый,M_M_L,бабочка_металл_синий/серебристый_M_M_L
303-C3,BLANCIA,универсальные,титан,безободковая,круглые,серый,47.0,21.0,145.0,,,оптика,круглые_титан_серый,L_S_L,круглые_титан_серый_L_S_L
303-C4,BLANCIA,универсальные,титан,безободковая,круглые,темно-серый,47.0,21.0,145.0,,,оптика,круглые_титан_темно-серый,L_S_L,круглые_титан_темно-серый_L_S_L
3030-03,MEREL,мужские,пластик,ободковая,квадратные,,55.0,20.0,150.0,,,оптика,,L_L_L,
30300L-BO01,LIGHTEC,универсальные,металл,ободковая,панто,синий,49.0,22.0,145.0,,,оптика,панто_металл_синий,L_M_L,панто_металл_синий_L_M_L
30300L-GB03,LIGHTEC,универсальные,металл,ободковая,панто,серый,49.0,22.0,145.0,,,оптика,панто_металл_серый,L_M_L,панто_металл_серый_L_M_L
30300L-NR02,LIGHTEC,универсальные,металл,ободковая,панто,черный,49.0,22.0,145.0,,,оптика,панто_металл_черный,L_M_L,панто_металл_черный_L_M_L
3030250-FANGAME,NANO NAO,подростковые для мальчиков,пластик,ободковая,квадратные,черный,50.0,15.0,133.0,,,оптика,квадратные_пластик_черный,S_M_S,квадратные_пластик_черный_S_M_S
"3030252-FANGAME 3,0",NANO NAO,подростковые для мальчиков,пластик,ободковая,прямоугольные,черный,52.0,15.0,133.0,,,оптика,прямоугольные_пластик_черный,S_L_S,прямоугольные_пластик_черный_S_L_S
30303L-BV10,LIGHTEC,мужские,металл,ободковая,прямоугольные,синий,54.0,20.0,150.0,,,оптика,прямоугольные_металл_синий,L_L_L,прямоугольные_металл_синий_L_L_L
30303L-NG12,LIGHTEC,мужские,металл,ободковая,прямоугольные,черный,54.0,20.0,150.0,,,оптика,прямоугольные_металл_черный,L_L_L,прямоугольные_металл_черный_L_L_L
30303L-NR11,LIGHTEC,мужские,металл,ободковая,прямоугольные,черный/красный,54.0,20.0,150.0,,,оптика,прямоугольные_металл_черный/красный,L_L_L,прямоугольные_металл_черный/красный_L_L_L
3031-921,MAJE,женские,металл и пластик,ободковая,квадратные,гавана,53.0,19.0,140.0,,,оптика,квадратные_металл и пластик_гавана,M_L_L,квадратные_металл и пластик_гавана_M_L_L
"3031552-FANGAME 3,0",NANO NAO,подростковые универсальные,пластик,ободковая,прямоугольные,черный/красный,52.0,15.0,133.0,,,оптика,прямоугольные_пластик_черный/красный,S_L_S,прямоугольные_пластик_черный/красный_S_L_S
3032-512,MAJE,женские,пластик,ободковая,панто,зеленый,50.0,20.0,140.0,,,оптика,панто_пластик_зеленый,M_M_L,панто_пластик_зеленый_M_M_L
30326L-NR02,LIGHTEC,мужские,металл,ободковая,прямоугольные,черный/красный,54.0,18.0,145.0,,,оптика,прямоугольные_металл_черный/красный,L_L_L,прямоугольные_металл_черный/красный_L_L_L
30329L-GB11,LIGHTEC,мужские,металл,ободковая,трапеция,черный/синий,55.0,18.0,145.0,,,оптика,трапеция_металл_черный/синий,L_L_L,трапеция_металл_черный/синий_L_L_L
30329L-NR10,LIGHTEC,мужские,металл,ободковая,трапеция,черный/красный,55.0,18.0,145.0,,,оптика,трапеция_металл_черный/красный,L_L_L,трапеция_металл_черный/красный_L_L_L
3033-01,MEREL,женские,пластик,ободковая,бабочка,черный,53.0,17.0,140.0,,,оптика,бабочка_пластик_черный,M_L_M,бабочка_пластик_черный_M_L_M
30333L-MG10,LIGHTEC,мужские,металл и пластик,ободковая,квадратные,коричневый,55.0,18.0,150.0,,,оптика,квадратные_металл и пластик_коричневый,L_L_L,квадратные_металл и пластик_коричневый_L_L_L
30342L-BV17,LIGHTEC,универсальные,металл,полуободковая,панто,синий,49.0,23.0,145.0,,,оптика,панто_металл_синий,L_M_L,панто_металл_синий_L_M_L
30342L-GB19,LIGHTEC,универсальные,металл,полуободковая,панто,черный/синий,49.0,23.0,145.0,,,оптика,панто_металл_черный/синий,L_M_L,панто_металл_черный/синий_L_M_L
3036-2,BELLINI,женские,металл,ободковая,трапеция,черный/золотой,52.0,18.0,140.0,,,оптика,трапеция_металл_черный/золотой,M_L_L,трапеция_металл_черный/золотой_M_L_L
3037-090,GUESS,женские,металл,ободковая,капли,золотой,51.0,15.0,135.0,,,оптика,капли_металл_золотой,M_M_S,капли_металл_золотой_M_M_S
3037-1,BELLINI,универсальные,металл,ободковая,квадратные,коричневый,52.0,18.0,140.0,,,оптика,квадратные_металл_коричневый,M_L_L,квадратные_металл_коричневый_M_L_L
3039-4,BELLINI,женские,металл,ободковая,круглые,черный/серебристый,51.0,19.0,140.0,,,оптика,круглые_металл_черный/серебристый,M_M_L,круглые_металл_черный/серебристый_M_M_L
304-C01,BLANCIA,мужские,пластик,ободковая,прямоугольные,черный/серебристый,54.0,18.0,150.0,,,оптика,прямоугольные_пластик_черный/серебристый,L_L_L,прямоугольные_пластик_черный/серебристый_L_L_L
304-C02,BLANCIA,мужские,пластик,ободковая,прямоугольные,прозрачный,54.0,18.0,150.0,,,оптика,прямоугольные_пластик_прозрачный,L_L_L,прямоугольные_пластик_прозрачный_L_L_L
304-GOLD,DACKOR,женские,металл,ободковая,кошачий глаз,золотой,54.0,19.0,140.0,,,оптика,кошачий глаз_металл_золотой,M_L_L,кошачий глаз_металл_золотой_M_L_L
304-PINK,DACKOR,женские,металл,ободковая,бабочка,фиолетовый,54.0,19.0,140.0,,,оптика,бабочка_металл_фиолетовый,M_L_L,бабочка_металл_фиолетовый_M_L_L
3041-423,KAREN MILLEN,женские,металл,ободковая,овальные,золотой,54.0,17.0,140.0,,,оптика,овальные_металл_золотой,M_L_M,овальные_металл_золотой_M_L_M
3043-240,KAREN MILLEN,женские,металл,полуободковая,бабочка,,50.0,17.0,135.0,,,оптика,,M_M_M,
305-C1,BLANCIA,универсальные,пластик,ободковая,трапеция,черный/золотой,50.0,21.0,145.0,,,оптика,трапеция_пластик_черный/золотой,L_M_L,трапеция_пластик_черный/золотой_L_M_L
305-C3,BLANCIA,универсальные,пластик,ободковая,панто,прозрачный,50.0,21.0,145.0,,,оптика,панто_пластик_прозрачный,L_M_L,панто_пластик_прозрачный_L_M_L
305-NERO,DACKOR,женские,металл,полуободковая,бабочка,черный,51.0,17.0,135.0,,,оптика,бабочка_металл_черный,M_M_M,бабочка_металл_черный_M_M_M
305-VIOLET,DACKOR,женские,металл,полуободковая,бабочка,,51.0,17.0,135.0,,,оптика,,M_M_M,
305/G-DDB,JIMMY CHOO,женские,металл,ободковая,круглые,,55.0,18.0,145.0,,,оптика,,L_L_L,
3058-BG-BLK,MATSUDA,универсальные,титан,ободковая,панто,черный/золотой,48.0,22.0,145.0,,,оптика,панто_титан_черный/золотой,L_M_L,панто_титан_черный/золотой_L_M_L
306-C02,BLANCIA,мужские,пластик,ободковая,вайфайеры,черный,49.0,22.0,148.0,,,оптика,вайфайеры_пластик_черный,L_M_L,вайфайеры_пластик_черный_L_M_L
306-C03,BLANCIA,универсальные,пластик,ободковая,панто,прозрачный,49.0,22.0,148.0,,,оптика,панто_пластик_прозрачный,L_M_L,панто_пластик_прозрачный_L_M_L
306-P413,SWING,подростковые для мальчиков,пластик,ободковая,квадратные,,48.0,17.0,130.0,,,оптика,,S_M_M,
"3060444-SPRITE 3,0",NANO NAO,детские для девочек,пластик,ободковая,панто,малиновый,44.0,13.0,120.0,,,оптика,панто_пластик_малиновый,S_S_S,панто_пластик_малиновый_S_S_S
3067-01,TEMPO,мужские,металл,ободковая,прямоугольные,,51.0,18.0,145.0,,,оптика,,L_M_L,
307-C1,BLANCIA,мужские,металл и пластик,ободковая,квадратные,черный/золотой,54.0,18.0,149.0,,,оптика,квадратные_металл и пластик_черный/золотой,L_L_L,квадратные_металл и пластик_черный/золотой_L_L_L
307-C2,BLANCIA,мужские,металл и пластик,ободковая,квадратные,черный/серебристый,54.0,18.0,149.0,,,оптика,квадратные_металл и пластик_черный/серебристый,L_L_L,квадратные_металл и пластик_черный/серебристый_L_L_L
3078-121,CHR. LACROIX,женские,металл и пластик,ободковая,круглые,многоцветный,50.0,20.0,135.0,,,оптика,круглые_металл и пластик_многоцветный,M_M_L,круглые_металл и пластик_многоцветный_M_M_L
3078-605,CHR. LACROIX,женские,металл и пластик,ободковая,круглые,многоцветный,50.0,20.0,135.0,,,оптика,круглые_металл и пластик_многоцветный,M_M_L,круглые_металл и пластик_многоцветный_M_M_L
308-BLACK,MEGAPOLIS,мужские,пластик,ободковая,прямоугольные,черный,54.0,16.0,140.0,,,оптика,прямоугольные_пластик_черный,M_L_M,прямоугольные_пластик_черный_M_L_M
3085-02,BANISS,подростковые универсальные,металл,ободковая,трапеция,темно-серый,49.0,17.0,135.0,,,оптика,трапеция_металл_темно-серый,M_M_M,трапеция_металл_темно-серый_M_M_M
3085I-AS-TOT,MATSUDA,универсальные,титан,ободковая,панто,многоцветный,47.0,23.0,145.0,,,оптика,панто_титан_многоцветный,L_S_L,панто_титан_многоцветный_L_S_L
3088-404,CHR. LACROIX,женские,металл,ободковая,квадратные,золотой,51.0,18.0,145.0,,,оптика,квадратные_металл_золотой,L_M_L,квадратные_металл_золотой_L_M_L
