article,brand,gender_frame,material,frame_type,form,color,lens_width,bridge_width,temples_length,price,cost,категория,class_style,class_size,class_full
6114-01,VENTO,мужские,металл,ободковая,капли,черный,60.0,16.0,142.0,,,солнцезащитные,капли_металл_черный,M_L_M,капли_металл_черный_M_L_M
6118-11,VENTO,мужские,пластик,ободковая,прямоугольные,черный,59.0,16.0,140.0,,,солнцезащитные,прямоугольные_пластик_черный,M_L_M,прямоугольные_пластик_черный_M_L_M
6119-11,VENTO,мужские,пластик,ободковая,прямоугольные,,52.0,20.0,145.0,,,солнцезащитные,,L_L_L,
6119-13,VENTO,мужские,пластик,ободковая,прямоугольные,синий,52.0,20.0,145.0,,,солнцезащитные,прямоугольные_пластик_синий,L_L_L,прямоугольные_пластик_синий_L_L_L
6124-02,VENTO,мужские,металл,ободковая,капли,,60.0,14.0,140.0,,,солнцезащитные,,M_L_S,
6124-03,VENTO,мужские,металл,ободковая,капли,темно-серый,60.0,14.0,140.0,,,солнцезащитные,капли_металл_темно-серый,M_L_S,капли_металл_темно-серый_M_L_S
6125-03,VENTO,универсальные,металл,ободковая,капли,черный,60.0,13.0,140.0,,,солнцезащитные,капли_металл_черный,M_L_S,капли_металл_черный_M_L_S
6126-01,VENTO,мужские,металл,ободковая,капли,серый,58.0,14.0,145.0,,,солнцезащитные,капли_металл_серый,L_L_S,капли_металл_серый_L_L_S
6127-11,VENTO,мужские,пластик,ободковая,квадратные,черный,57.0,16.0,142.0,,,солнцезащитные,квадратные_пластик_черный,M_L_M,квадратные_пластик_черный_M_L_M
6127-12,VENTO,мужские,пластик,ободковая,квадратные,черный,57.0,16.0,142.0,,,солнцезащитные,квадратные_пластик_черный,M_L_M,квадратные_пластик_черный_M_L_M
6127-13,VENTO,мужские,пластик,ободковая,квадратные,коричневый,57.0,16.0,142.0,,,солнцезащитные,квадратные_пластик_коричневый,M_L_M,квадратные_пластик_коричневый_M_L_M
6129-11,VENTO,мужские,пластик,ободковая,спортивные,синий,57.0,19.0,136.0,,,солнцезащитные,спортивные_пластик_синий,M_L_L,спортивные_пластик_синий_M_L_L
6129-12,VENTO,мужские,пластик,ободковая,спортивные,черный,57.0,19.0,136.0,,,солнцезащитные,спортивные_пластик_черный,M_L_L,спортивные_пластик_черный_M_L_L
6129-14,VENTO,мужские,пластик,ободковая,спортивные,синий,57.0,19.0,136.0,,,солнцезащитные,спортивные_пластик_синий,M_L_L,спортивные_пластик_синий_M_L_L
6130-11,VENTO,мужские,пластик,ободковая,квадратные,черный,61.0,15.0,142.0,,,солнцезащитные,квадратные_пластик_черный,M_L_S,квадратные_пластик_черный_M_L_S
6130-12,VENTO,мужские,пластик,ободковая,квадратные,черный,61.0,15.0,142.0,,,солнцезащитные,квадратные_пластик_черный,M_L_S,квадратные_пластик_черный_M_L_S
6130-13,VENTO,мужские,пластик,ободковая,квадратные,черный/синий,61.0,15.0,142.0,,,солнцезащитные,квадратные_пластик_черный/синий,M_L_S,квадратные_пластик_черный/синий_M_L_S
6131-11,VENTO,мужские,пластик,ободковая,спортивные,черный,59.0,17.0,140.0,,,солнцезащитные,спортивные_пластик_черный,M_L_M,спортивные_пластик_черный_M_L_M
6131-12,VENTO,мужские,пластик,ободковая,спортивные,черный,59.0,17.0,140.0,,,солнцезащитные,спортивные_пластик_черный,M_L_M,спортивные_пластик_черный_M_L_M
6131-13,VENTO,мужские,пластик,ободковая,спортивные,коричневый,59.0,17.0,140.0,,,солнцезащитные,спортивные_пластик_коричневый,M_L_M,спортивные_пластик_коричневый_M_L_M
6145/S-2X6M9,POLAROID,женские,металл,ободковая,овальные,,56.0,19.0,145.0,,,солнцезащитные,,L_L_L,
615-003,GENEX,мужские,пластик,ободковая,прямоугольные,синий,58.0,18.0,147.0,,,солнцезащитные,прямоугольные_пластик_синий,L_L_L,прямоугольные_пластик_синий_L_L_L
615-005,GENEX,мужские,пластик,ободковая,прямоугольные,черный,58.0,18.0,147.0,,,солнцезащитные,прямоугольные_пластик_черный,L_L_L,прямоугольные_пластик_черный_L_L_L
6151/G/S-KB7M9,POLAROID,универсальные,металл и пластик,ободковая,капли,черный,59.0,20.0,145.0,,,солнцезащитные,капли_металл и пластик_черный,L_L_L,капли_металл и пластик_черный_L_L_L
616-003,GENEX,женские,пластик,ободковая,кошачий глаз,черный,52.0,23.0,150.0,,,солнцезащитные,кошачий глаз_пластик_черный,L_L_L,кошачий глаз_пластик_черный_L_L_L
616-503,GENEX,женские,пластик,ободковая,кошачий глаз,серый,52.0,23.0,150.0,,,солнцезащитные,кошачий глаз_пластик_серый,L_L_L,кошачий глаз_пластик_серый_L_L_L
616-549,GENEX,женские,пластик,ободковая,кошачий глаз,бордовый,52.0,23.0,150.0,,,солнцезащитные,кошачий глаз_пластик_бордовый,L_L_L,кошачий глаз_пластик_бордовый_L_L_L
6162/S-003HE,POLAROID,женские,пластик,ободковая,панто,,52.0,18.0,140.0,,,солнцезащитные,,M_L_L,
6169/S-KB7M9,POLAROID,женские,пластик,ободковая,кошачий глаз,серый,55.0,18.0,140.0,,,солнцезащитные,кошачий глаз_пластик_серый,M_L_L,кошачий глаз_пластик_серый_M_L_L
6171/S-010JQ,POLAROID,универсальные,металл,ободковая,панто,серебристый,51.0,20.0,140.0,,,солнцезащитные,панто_металл_серебристый,M_M_L,панто_металл_серебристый_M_M_L
6171/S-KJ1C3,POLAROID,универсальные,металл,ободковая,панто,темно-серый,51.0,20.0,140.0,,,солнцезащитные,панто_металл_темно-серый,M_M_L,панто_металл_темно-серый_M_M_L
6187/S-1EDM9,POLAROID,мужские,металл,ободковая,капли,,60.0,14.0,145.0,,,солнцезащитные,,L_L_S,
6189/S-KB7M9,POLAROID,женские,пластик,ободковая,бабочка,серый,55.0,18.0,140.0,,,солнцезащитные,бабочка_пластик_серый,M_L_L,бабочка_пластик_серый_M_L_L
619-026,GENEX,женские,пластик,ободковая,бабочка,зеленый,54.0,20.0,150.0,,,солнцезащитные,бабочка_пластик_зеленый,L_L_L,бабочка_пластик_зеленый_L_L_L
