class,total_sales,pos_pct,category,style_class,size_class,style_category,size_category
бабочка_пластик_серый_L_L_L,8,0.10259433962264151,X,бабочка_пластик_серый,L_L_L,X,X
кошачий глаз_пластик_розовый_L_L_L,8,0.10377358490566038,X,кошачий глаз_пластик_розовый,L_L_L,X,X
кошачий глаз_пластик_черепаховый_L_L_L,7,0.10495283018867925,X,кошачий глаз_пластик_черепаховый,L_L_L,X,X
бабочка_пластик_коричневый_M_L_S,7,0.10613207547169812,X,бабочка_пластик_коричневый,M_L_S,X,X
прямоугольные_металл_золотой_M_L_L,7,0.10731132075471699,X,прямоугольные_металл_золотой,M_L_L,X,X
панто_металл_черный_M_L_M,7,0.10849056603773585,X,панто_металл_черный,M_L_M,X,X
круглые_металл_серый_L_L_L,7,0.10966981132075472,X,круглые_металл_серый,L_L_L,X,X
круглые_металл_черный_L_L_L,7,0.11084905660377359,X,круглые_металл_черный,L_L_L,X,X
капли_металл_серый_M_L_M,7,0.11202830188679246,X,капли_металл_серый,M_L_M,X,X
бабочка_пластик_черный_M_L_S,7,0.11320754716981132,X,бабочка_пластик_черный,M_L_S,X,X
необычные_металл_золотой_M_L_L,7,0.11438679245283019,X,необычные_металл_золотой,M_L_L,X,X
прямоугольные_пластик_черный_L_M_L,7,0.11556603773584906,X,прямоугольные_пластик_черный,L_M_L,X,X
прямоугольные_металл_черный_L_L_M,7,0.11674528301886793,X,прямоугольные_металл_черный,L_L_M,X,X
прямоугольные_металл_темно-серый_M_L_L,7,0.1179245283018868,X,прямоугольные_металл_темно-серый,M_L_L,X,X
капли_металл_коричневый_L_L_L,7,0.11910377358490566,X,капли_металл_коричневый,L_L_L,X,X
прямоугольные_пластик_черный_S_L_L,7,0.12028301886792453,X,прямоугольные_пластик_черный,S_L_L,X,x
необычные_металл_черный_L_L_L,7,0.1214622641509434,X,необычные_металл_черный,L_L_L,X,X
бабочка_пластик_фиолетовый_L_L_L,7,0.12264150943396226,X,бабочка_пластик_фиолетовый,L_L_L,X,X
кошачий глаз_пластик_черный_M_L_M,7,0.12382075471698113,X,кошачий глаз_пластик_черный,M_L_M,X,X
круглые_металл_золотой_L_M_L,6,0.125,X,круглые_металл_золотой,L_M_L,X,X
гексагон_металл и пластик_черный_L_L_L,6,0.12617924528301888,X,гексагон_металл и пластик_черный,L_L_L,X,X
квадратные_металл_черный_M_L_M,6,0.12735849056603774,X,квадратные_металл_черный,M_L_M,X,X
бабочка_пластик_черный/зеленый_L_L_L,6,0.12853773584905662,X,бабочка_пластик_черный/зеленый,L_L_L,X,X
бабочка_металл_черный/золотой_M_L_M,6,0.12971698113207547,X,бабочка_металл_черный/золотой,M_L_M,X,X
бабочка_пластик_темно-серый_M_L_L,6,0.13089622641509435,X,бабочка_пластик_темно-серый,M_L_L,X,X
прямоугольные_металл_серебристый_L_L_L,6,0.1320754716981132,X,прямоугольные_металл_серебристый,L_L_L,X,X
прямоугольные_пластик_черный_M_L_S,6,0.1332547169811321,X,прямоугольные_пластик_черный,M_L_S,X,X
кошачий глаз_металл_синий/серебристый_L_L_L,6,0.13443396226415094,X,кошачий глаз_металл_синий/серебристый,L_L_L,X,X
кошачий глаз_пластик_коричневый_L_L_L,6,0.13561320754716982,X,кошачий глаз_пластик_коричневый,L_L_L,X,X
маска_пластик_черный_M_L_L,6,0.13679245283018868,X,маска_пластик_черный,M_L_L,X,X
маска_пластик_черный_L_L_L,6,0.13797169811320756,X,маска_пластик_черный,L_L_L,X,X
прямоугольные_металл_черный_M_L_M,6,0.1391509433962264,X,прямоугольные_металл_черный,M_L_M,X,X
спортивные_пластик_синий_M_L_L,6,0.1403301886792453,X,спортивные_пластик_синий,M_L_L,X,X
бабочка_металл_черный/золотой_L_L_M,6,0.14150943396226415,X,бабочка_металл_черный/золотой,L_L_M,X,X
квадратные_металл_серый_L_L_M,6,0.14268867924528303,X,квадратные_металл_серый,L_L_M,X,X
вайфайеры_пластик_синий_L_L_L,6,0.14386792452830188,X,вайфайеры_пластик_синий,L_L_L,X,X
капли_металл_черный_M_L_M,6,0.14504716981132076,X,капли_металл_черный,M_L_M,X,X
квадратные_пластик_серый_L_L_L,6,0.14622641509433962,X,квадратные_пластик_серый,L_L_L,X,X
овальные_пластик_розовый_S_S_S,6,0.1474056603773585,X,овальные_пластик_розовый,S_S_S,X,Y
гексагон_металл и пластик_коричневый_L_L_L,6,0.14858490566037735,X,гексагон_металл и пластик_коричневый,L_L_L,X,X
квадратные_металл_темно-серый_L_L_M,6,0.14976415094339623,X,квадратные_металл_темно-серый,L_L_M,X,X
панто_металл_серый_L_L_L,6,0.1509433962264151,X,панто_металл_серый,L_L_L,X,X
бабочка_пластик_зеленый_M_L_M,5,0.15212264150943397,X,бабочка_пластик_зеленый,M_L_M,X,X
трапеция_пластик_черный_L_L_S,5,0.15330188679245282,X,трапеция_пластик_черный,L_L_S,X,X
маска_пластик_черный_L_L_S,5,0.1544811320754717,X,маска_пластик_черный,L_L_S,X,X
маска_пластик_черный_S_L_L,5,0.15566037735849056,X,маска_пластик_черный,S_L_L,X,x
маска_пластик_черный_S_L_S,5,0.15683962264150944,X,маска_пластик_черный,S_L_S,X,x
круглые_пластик_черный_L_L_L,5,0.1580188679245283,X,круглые_пластик_черный,L_L_L,X,X
кошачий глаз_пластик_сиреневый_L_L_L,5,0.15919811320754718,X,кошачий глаз_пластик_сиреневый,L_L_L,X,X
кошачий глаз_пластик_серый_L_L_L,5,0.16037735849056603,X,кошачий глаз_пластик_серый,L_L_L,X,X
трапеция_пластик_черный_L_L_M,5,0.1615566037735849,X,трапеция_пластик_черный,L_L_M,X,X
кошачий глаз_пластик_коричневый_M_L_M,5,0.16273584905660377,X,кошачий глаз_пластик_коричневый,M_L_M,X,X
квадратные_титан_черный_M_L_S,5,0.16391509433962265,X,квадратные_титан_черный,M_L_S,X,X
квадратные_металл_золотой_M_L_S,5,0.1650943396226415,X,квадратные_металл_золотой,M_L_S,X,X
квадратные_пластик_серый_L_L_S,5,0.16627358490566038,X,квадратные_пластик_серый,L_L_S,X,X
квадратные_пластик_коричневый_M_L_L,5,0.16745283018867924,X,квадратные_пластик_коричневый,M_L_L,X,X
прямоугольные_пластик_синий_M_L_L,5,0.16863207547169812,X,прямоугольные_пластик_синий,M_L_L,X,X
необычные_металл_серый_M_M_L,5,0.16981132075471697,X,необычные_металл_серый,M_M_L,X,X
необычные_металл_золотой_M_L_M,5,0.17099056603773585,X,необычные_металл_золотой,M_L_M,X,X
необычные_металл_черный/золотой_M_L_M,5,0.1721698113207547,X,необычные_металл_черный/золотой,M_L_M,X,X
бабочка_пластик_черный/серый_L_L_L,5,0.1733490566037736,X,бабочка_пластик_черный/серый,L_L_L,X,X
вайфайеры_пластик_черный_L_L_M,5,0.17452830188679244,X,вайфайеры_пластик_черный,L_L_M,X,X
необычные_пластик_темно-серый_L_L_S,5,0.17570754716981132,X,необычные_пластик_темно-серый,L_L_S,X,X
квадратные_пластик_черный_M_L_S,5,0.17688679245283018,X,квадратные_пластик_черный,M_L_S,X,X
квадратные_металл_золотой_M_L_L,5,0.17806603773584906,X,квадратные_металл_золотой,M_L_L,X,X
квадратные_металл и пластик_черный/золотой_L_L_L,5,0.1792452830188679,X,квадратные_металл и пластик_черный/золотой,L_L_L,X,X
капли_титан_серый_L_L_L,5,0.1804245283018868,X,капли_титан_серый,L_L_L,X,X
квадратные_металл_темно-серый_L_L_L,5,0.18160377358490565,X,квадратные_металл_темно-серый,L_L_L,X,X
капли_металл_коричневый_L_L_S,5,0.18278301886792453,X,капли_металл_коричневый,L_L_S,X,X
прямоугольные_металл_коричневый_M_L_L,5,0.18396226415094338,X,прямоугольные_металл_коричневый,M_L_L,X,X
прямоугольные_металл_черный_L_L_S,5,0.18514150943396226,X,прямоугольные_металл_черный,L_L_S,X,X
прямоугольные_металл_серый_L_L_S,5,0.18632075471698112,X,прямоугольные_металл_серый,L_L_S,X,X
капли_металл_темно-серый_L_L_S,5,0.1875,X,капли_металл_темно-серый,L_L_S,X,X
панто_пластик_черный_L_M_L,5,0.18867924528301888,X,панто_пластик_черный,L_M_L,X,X
панто_пластик_розовый_L_L_L,5,0.18985849056603774,X,панто_пластик_розовый,L_L_L,X,X
капли_металл_черный_M_L_S,5,0.19103773584905662,X,капли_металл_черный,M_L_S,X,X
трапеция_пластик_синий_L_L_L,5,0.19221698113207547,X,трапеция_пластик_синий,L_L_L,X,X
круглые_металл_золотой_L_L_L,5,0.19339622641509435,X,круглые_металл_золотой,L_L_L,X,X
бабочка_металл_синий/серебристый_L_L_M,5,0.1945754716981132,X,бабочка_металл_синий/серебристый,L_L_M,X,X
бабочка_пластик_бордовый_L_M_L,5,0.1957547169811321,X,бабочка_пластик_бордовый,L_M_L,X,X
авиаторы_металл_темно-серый_L_L_L,4,0.19693396226415094,X,авиаторы_металл_темно-серый,L_L_L,X,X
спортивные_пластик_многоцветный_L_L_L,4,0.19811320754716982,X,спортивные_пластик_многоцветный,L_L_L,x,X
кошачий глаз_пластик_бордовый_L_L_L,4,0.19929245283018868,X,кошачий глаз_пластик_бордовый,L_L_L,X,X
прямоугольные_титан_черный_L_L_L,4,0.20047169811320756,X,прямоугольные_титан_черный,L_L_L,x,X
бабочка_металл и пластик_черный/желтый_M_L_M,4,0.2016509433962264,X,бабочка_металл и пластик_черный/желтый,M_L_M,x,X
ромб_металл_золотой_M_L_M,4,0.2028301886792453,X,ромб_металл_золотой,M_L_M,X,X
кошачий глаз_пластик_бежевый_M_L_M,4,0.20400943396226415,X,кошачий глаз_пластик_бежевый,M_L_M,X,X
бабочка_металл_многоцветный_M_L_M,4,0.20518867924528303,X,бабочка_металл_многоцветный,M_L_M,X,X
панто_пластик_черный_M_M_L,4,0.20636792452830188,X,панто_пластик_черный,M_M_L,X,X
квадратные_пластик_фиолетовый_L_L_L,4,0.20754716981132076,X,квадратные_пластик_фиолетовый,L_L_L,X,X
прямоугольные_пластик_черный/серый_M_L_L,4,0.20872641509433962,X,прямоугольные_пластик_черный/серый,M_L_L,x,X
капли_металл_серебристый_L_L_M,4,0.2099056603773585,X,капли_металл_серебристый,L_L_M,X,X
бабочка_пластик_черепаховый_M_M_L,4,0.21108490566037735,X,бабочка_пластик_черепаховый,M_M_L,X,X
капли_пластик_черный_L_L_M,4,0.21226415094339623,X,капли_пластик_черный,L_L_M,X,X
капли_металл_синий_L_L_L,4,0.2134433962264151,X,капли_металл_синий,L_L_L,X,X
необычные_металл_серебристый_L_L_L,4,0.21462264150943397,X,необычные_металл_серебристый,L_L_L,X,X
необычные_металл_синий/серебристый_M_L_M,4,0.21580188679245282,X,необычные_металл_синий/серебристый,M_L_M,X,X
кошачий глаз_металл_золотой_M_L_M,4,0.2169811320754717,X,кошачий глаз_металл_золотой,M_L_M,X,X
бабочка_пластик_фиолетовый_M_L_L,4,0.21816037735849056,X,бабочка_пластик_фиолетовый,M_L_L,X,X
капли_металл и пластик_серый_L_L_L,4,0.21933962264150944,X,капли_металл и пластик_серый,L_L_L,X,X
панто_пластик_черный_M_L_L,4,0.2205188679245283,X,панто_пластик_черный,M_L_L,X,X
овальные_металл_серый_L_M_L,4,0.22169811320754718,X,овальные_металл_серый,L_M_L,X,X
овальные_пластик_фиолетовый_M_L_L,4,0.22287735849056603,X,овальные_пластик_фиолетовый,M_L_L,X,X
панто_металл_желтый_L_L_L,4,0.2240566037735849,X,панто_металл_желтый,L_L_L,X,X
бабочка_пластик_коричневый_L_M_L,4,0.22523584905660377,X,бабочка_пластик_коричневый,L_M_L,X,X
круглые_пластик_черный_M_M_L,4,0.22641509433962265,X,круглые_пластик_черный,M_M_L,X,X
бабочка_металл_коричневый/золотой_L_L_M,4,0.2275943396226415,X,бабочка_металл_коричневый/золотой,L_L_M,X,X
спортивные_пластик_коричневый_M_L_S,4,0.22877358490566038,X,спортивные_пластик_коричневый,M_L_S,X,X
бабочка_пластик_бордовый_M_L_L,4,0.22995283018867924,X,бабочка_пластик_бордовый,M_L_L,X,X
бабочка_металл_серебристый_L_L_S,4,0.23113207547169812,X,бабочка_металл_серебристый,L_L_S,X,X
круглые_металл_серебристый_L_L_L,4,0.23231132075471697,X,круглые_металл_серебристый,L_L_L,X,X
спортивные_пластик_черный_S_L_M,4,0.23349056603773585,X,спортивные_пластик_черный,S_L_M,X,Y
спортивные_пластик_черный_S_L_L,4,0.2346698113207547,X,спортивные_пластик_черный,S_L_L,X,x
трапеция_металл_серый_L_L_L,4,0.2358490566037736,X,трапеция_металл_серый,L_L_L,X,X
квадратные_металл_серебристый_M_L_L,4,0.23702830188679244,X,квадратные_металл_серебристый,M_L_L,X,X
квадратные_металл_золотой_L_M_L,4,0.23820754716981132,X,квадратные_металл_золотой,L_M_L,X,X
квадратные_пластик_коричневый_M_L_M,4,0.23938679245283018,X,квадратные_пластик_коричневый,M_L_M,X,X
вайфайеры_пластик_розовый_L_S_M,4,0.24056603773584906,X,вайфайеры_пластик_розовый,L_S_M,X,Z
капли_титан_золотой_L_L_S,4,0.2417452830188679,X,капли_титан_золотой,L_L_S,X,X
панто_металл_черный/золотой_M_L_L,4,0.2429245283018868,X,панто_металл_черный/золотой,M_L_L,X,X
квадратные_пластик_синий_L_L_M,4,0.24410377358490565,X,квадратные_пластик_синий,L_L_M,X,X
квадратные_пластик_серый_M_L_M,4,0.24528301886792453,X,квадратные_пластик_серый,M_L_M,X,X
квадратные_пластик_розовый_L_L_L,4,0.24646226415094338,X,квадратные_пластик_розовый,L_L_L,X,X
квадратные_пластик_серый_M_L_L,4,0.24764150943396226,X,квадратные_пластик_серый,M_L_L,X,X
прямоугольные_пластик_бежевый_L_M_L,4,0.24882075471698112,X,прямоугольные_пластик_бежевый,L_M_L,X,X
капли_металл_золотой_M_L_L,4,0.25,X,капли_металл_золотой,M_L_L,X,X
панто_металл_коричневый_M_L_L,4,0.2511792452830189,X,панто_металл_коричневый,M_L_L,X,X
бабочка_металл_розовый_M_L_M,3,0.25235849056603776,X,бабочка_металл_розовый,M_L_M,X,X
бабочка_металл_многоцветный_L_L_M,3,0.2535377358490566,X,бабочка_металл_многоцветный,L_L_M,X,X
бабочка_пластик_розовый_M_L_L,3,0.25471698113207547,X,бабочка_пластик_розовый,M_L_L,X,X
квадратные_пластик_черепаховый_L_L_S,3,0.25589622641509435,X,квадратные_пластик_черепаховый,L_L_S,x,X
овальные_металл_золотой_M_S_L,3,0.25707547169811323,X,овальные_металл_золотой,M_S_L,X,Y
необычные_пластик_черный_L_L_S,3,0.25825471698113206,X,необычные_пластик_черный,L_L_S,X,X
квадратные_пластик_темно-серый_M_L_M,3,0.25943396226415094,X,квадратные_пластик_темно-серый,M_L_M,X,X
прямоугольные_пластик_черепаховый_L_L_L,3,0.2606132075471698,X,прямоугольные_пластик_черепаховый,L_L_L,X,X
бабочка_пластик_черный_L_L_S,3,0.2617924528301887,X,бабочка_пластик_черный,L_L_S,X,X
овальные_металл_золотой_M_L_L,3,0.26297169811320753,X,овальные_металл_золотой,M_L_L,X,X
овальные_металл_золотой_M_L_S,3,0.2641509433962264,X,овальные_металл_золотой,M_L_S,X,X
бабочка_пластик_черный/белый_L_L_L,3,0.2653301886792453,X,бабочка_пластик_черный/белый,L_L_L,X,X
бабочка_пластик_фиолетовый_L_L_M,3,0.2665094339622642,X,бабочка_пластик_фиолетовый,L_L_M,X,X
квадратные_металл и пластик_черный/золотой_L_L_S,3,0.267688679245283,X,квадратные_металл и пластик_черный/золотой,L_L_S,X,X
капли_металл_темно-серый_M_L_L,3,0.2688679245283019,X,капли_металл_темно-серый,M_L_L,X,X
панто_пластик_зеленый_M_M_L,3,0.27004716981132076,X,панто_пластик_зеленый,M_M_L,X,X
спортивные_пластик_черный/красный_L_L_L,3,0.27122641509433965,X,спортивные_пластик_черный/красный,L_L_L,x,X
